longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,<1H OCEAN,INLAND,ISLAND,NEAR BAY,NEAR OCEAN,house value
-118.36,33.93,40.0,7.3938782901077555,6.2166061010848646,7.619233416226805,6.1675164908883415,2.6298,1,0,0,0,0,172624.66258596024
-117.22,34.26,16.0,8.989818381366925,7.267525427828172,7.4673710669175595,6.293419278846481,4.9716,0,1,0,0,0,217270.96545220818
-118.3,33.98,48.0,7.6004023345004,6.018593214496234,7.0707241072602764,5.948034989180646,3.0455,1,0,0,0,0,204978.29422791954
-115.51,33.24,32.0,7.59890045687141,6.261491684321042,6.975413927455952,6.018593214496234,1.6552,0,1,0,0,0,70540.11157059437
-118.45,34.0,39.0,7.554858521040676,5.886104031450156,6.7661917146603505,5.846438775057725,4.7,1,0,0,0,0,281613.5490264823
-121.13,37.74,31.0,6.519147287940395,4.976733742420574,6.261491684321042,5.075173815233827,2.4598,0,1,0,0,0,87549.05138571933
-117.76,33.72,11.0,8.413830678421084,6.428105272684596,7.597897950521784,6.352629396319567,10.4498,1,0,0,0,0,443322.9710640712
-119.34,36.32,6.0,8.09162741160107,6.405228458030842,7.478734825567875,6.364750756851911,3.1574,0,1,0,0,0,94325.53368825046
-118.37,34.1,37.0,6.0112671744041615,4.219507705176107,4.61512051684126,3.871201010907891,15.0001,1,0,0,0,0,721024.4684492904
-122.16,39.78,32.0,7.161622002939187,5.402677381872279,6.333279628139691,5.318119993844216,2.325,0,1,0,0,0,69534.25848599756
-120.65,35.27,27.0,7.618251097876695,5.834810737062605,6.645090969505644,5.75890177387728,4.2411,0,0,0,0,1,276950.5651489715
-122.43,37.77,52.0,8.1786387885907,6.725033642166843,7.44600149832412,6.669498089857879,3.3702,0,0,0,1,0,269523.7919120779
-119.12,36.19,21.0,7.880804344674901,6.142037405587356,7.1276936993473985,6.0112671744041615,2.9145,0,1,0,0,0,95889.1670173239
-117.97,34.05,36.0,7.170119543449628,5.332718793265369,6.638567789166521,5.37989735354046,3.5179,1,0,0,0,0,166704.1009954284
-119.61,36.59,10.0,7.952615111651,6.431331081933479,7.275172319452771,6.3578422665081,2.2727,0,1,0,0,0,88559.25769452052
-118.38,34.19,37.0,7.268920128193722,5.978885764901122,7.419380582918692,6.003887067106539,2.4375,1,0,0,0,0,147499.59624376567
-120.88,38.91,15.0,8.262816937670928,6.658011045870748,7.581209826196346,6.539585955617669,2.902,0,1,0,0,0,77864.06159888348
-121.06,39.04,15.0,7.600902459542082,5.662960480135946,6.373319789577012,5.5093883366279774,5.5161,0,1,0,0,0,185087.7073225868
-117.81,33.82,22.0,7.972121128921655,5.817111159963204,6.964135612418245,5.783825182329737,10.8111,1,0,0,0,0,460155.75742370123
-117.88,33.93,17.0,8.716207971151853,6.759255270663693,7.927324360309794,6.7650389767805414,7.6486,1,0,0,0,0,336135.00879155984
-119.17,34.16,17.0,8.571113033405668,6.928537818164665,8.310660905907225,6.892641641172089,4.5828,0,0,0,0,1,232787.09975019097
-123.22,39.16,29.0,8.719644119505357,7.109062135687172,8.18757739559151,7.081708586105575,2.631,1,0,0,0,0,169739.86699904082
-121.37,38.64,36.0,5.777652323222656,3.8918202981106265,4.897839799950911,4.0943445622221,4.6111,0,1,0,0,0,170342.57076860312
-119.17,34.26,10.0,8.203851372183879,6.295266001439646,7.40184157874383,6.313548046277095,6.1885,0,0,0,0,1,301153.67002417333
-121.3,38.02,16.0,7.907651594711089,6.432940092739179,8.114922974204593,6.467698726104354,2.5473,0,1,0,0,0,46629.57565435534
-121.85,37.27,17.0,7.579678823090456,5.568344503761097,6.761572768804055,5.598421958998375,7.3339,1,0,0,0,0,333718.6142691048
-118.17,33.78,23.0,8.234564993267135,7.140453043101158,8.279189777195004,7.002155954403621,1.9647,0,0,0,0,1,154005.83000814775
-120.69,35.62,35.0,8.146709052203319,6.570882962339584,7.346655163176539,6.483107351457199,2.9167,1,0,0,0,0,238826.1265355968
-118.17,34.19,45.0,7.490529402060711,5.75890177387728,6.943122422819428,5.746203190540153,4.0985,1,0,0,0,0,217987.30768748
-117.06,32.77,34.0,7.456454555176209,5.924255797414532,6.594413459749778,5.860786223465865,2.0284,0,0,0,0,1,181124.71409959625
-118.36,33.85,34.0,6.99117688712121,5.288267030694535,6.234410725718371,5.0689042022202315,6.1133,1,0,0,0,0,318336.17510279873
-117.99,33.88,25.0,8.132118772955806,6.234410725718371,7.315883504509785,6.212606095751519,6.6704,1,0,0,0,0,313941.12315762835
-117.08,33.13,17.0,9.043931533642278,7.874358824729881,8.855805992536562,7.7266536648476425,2.1437,1,0,0,0,0,158141.13065796252
-117.96,33.82,29.0,7.685703061234547,6.150602768446279,7.398174092970465,6.061456918928017,3.707,1,0,0,0,0,192772.73593684798
-117.96,34.0,33.0,8.605753368395717,6.859614903654202,8.168486417126681,6.818924065275521,4.4038,1,0,0,0,0,211736.06675801286
-118.37,33.95,52.0,6.729824070489475,5.170483995038151,6.617402977974478,5.117993812416755,4.125,1,0,0,0,0,218373.2728471537
-117.57,33.87,27.0,7.488293515159428,5.662960480135946,6.84587987526405,5.631211781821365,5.1929,0,1,0,0,0,199092.79058961058
-118.08,34.58,5.0,7.01571242048723,5.231108616854587,6.448889394146858,5.1298987149230735,4.1719,0,1,0,0,0,121596.90209493786
-121.41,38.55,14.0,7.837948916025283,6.559615237493242,7.310550158534422,6.369900982828227,1.9167,0,1,0,0,0,89662.7651034249
-119.6,36.56,36.0,6.6052979209482015,5.1298987149230735,6.6039438246004725,5.231108616854587,1.4415,0,1,0,0,0,25177.689420042094
-122.14,37.69,38.0,7.360103972989152,5.762051382780177,6.774223886357614,5.71042701737487,4.4659,0,0,0,1,0,256188.09192439076
-121.09,37.56,32.0,7.4489161025442,5.786897381366708,7.213031659834869,5.730099782973574,2.6705,0,1,0,0,0,81088.28497780068
-117.94,33.73,24.0,8.342363500380579,6.577861357721047,7.81156848934518,6.5722825426940075,5.2563,1,0,0,0,0,251854.68971185666
-116.9,32.77,8.0,8.188966863648876,6.20050917404269,7.259819610363186,6.180016653652572,6.2609,1,0,0,0,0,277053.4108738643
-120.46,34.63,48.0,7.25063551189868,5.71042701737487,6.52649485957079,5.634789603169249,2.9271,0,0,0,0,1,266162.084333132
-117.33,34.08,35.0,7.714677473800927,6.049733455231958,7.240649694255466,5.983936280687191,3.1799,0,1,0,0,0,116489.61524920585
-122.28,37.87,52.0,6.380122536899765,4.890349128221754,5.666426688112432,4.882801922586371,3.5156,0,0,0,1,0,252125.65156070422
-120.66,35.46,17.0,8.229244416735913,6.413458957167357,7.528869256642251,6.418364935936212,4.5179,1,0,0,0,0,253272.1700516818
-119.77,35.65,21.0,7.784889295655098,6.182084906716632,7.4073177104694174,6.030685260261263,2.6066,0,1,0,0,0,103151.860562169
-117.81,34.01,12.0,9.12674134809987,7.404279118037268,8.374015421739909,7.349230824613334,4.9589,1,0,0,0,0,243765.56319190096
-117.74,34.05,29.0,7.8050670442584895,6.55250788703459,8.016317898503415,6.501289670540389,2.1354,0,1,0,0,0,78781.48332855059
-118.3,34.25,36.0,7.170888478512505,5.720311776607412,6.535241271013659,5.568344503761097,3.1523,1,0,0,0,0,211556.3889684542
-117.17,34.05,24.0,7.964850887447313,6.230481447578482,7.040536390215956,6.163314804034641,4.2059,0,1,0,0,0,176851.76897188043
-121.67,36.66,19.0,9.145481799627687,7.591357046698551,8.357024439263416,7.5406215286571525,3.6875,1,0,0,0,0,264273.42703910405
-119.23,34.25,28.0,3.295836866004329,1.3862943611198906,3.4011973816621555,2.302585092994046,8.0,0,0,0,0,1,325629.92773271166
-121.93,37.27,28.0,8.14002395246292,6.625392368007956,7.469654172932128,6.593044534142437,4.1033,1,0,0,0,0,270080.7204455817
-120.45,34.88,15.0,7.670428522190693,5.659482215759621,6.835184586147301,5.755742213586912,5.7306,1,0,0,0,0,297935.77964585694
-121.96,37.53,18.0,7.773173680482536,6.481577129276431,7.133295954896068,6.375024819828097,2.6198,1,0,0,0,0,214583.19340379722
-118.5,34.26,33.0,7.94873845481361,6.236369590203704,7.201170883281678,6.22455842927536,4.8316,1,0,0,0,0,268655.1918371981
-121.29,38.03,16.0,8.379539026117442,6.782192056006791,7.396335293800808,6.70808408385307,2.2672,0,1,0,0,0,122099.3878496578
-122.5,37.75,43.0,7.772331575169614,6.1779441140506,7.129297548929373,6.12029741895095,4.0985,0,0,0,0,1,268726.40073762415
-120.67,35.29,44.0,7.71289096149013,6.021023349349527,6.9440872082295275,6.082218910376446,3.0833,0,0,0,0,1,246744.09617376514
-122.08,37.34,23.0,7.862497197230545,5.817111159963204,6.827629234502852,5.82600010738045,10.5142,1,0,0,0,0,493923.95137294475
-118.01,33.89,36.0,7.371489295214277,5.583496308781699,6.690842277418564,5.60947179518496,4.6354,1,0,0,0,0,240601.6844218336
-122.29,37.91,46.0,7.643003635560718,5.849324779946859,6.618738983517219,5.872117789475416,4.0536,0,0,0,1,0,261397.2823422891
-118.3,34.01,48.0,8.34711636103872,6.999422467507961,8.101374671228582,6.856461984594587,1.9152,1,0,0,0,0,165961.5955392588
-122.43,37.77,52.0,7.906547232368036,6.659293919683638,7.271703706887368,6.598509028614515,3.6031,0,0,0,1,0,298286.19349241024
-116.24,33.73,14.0,7.928406026180535,6.340359303727752,7.333676395657684,6.226536669287466,3.0682,0,1,0,0,0,89017.80251243059
-118.54,34.17,11.0,6.985641817639208,5.1647859739235145,5.958424693029782,5.081404364984463,6.1274,1,0,0,0,0,305564.5601464859
-118.1,34.1,34.0,7.8551570058813445,6.470799503782602,7.395721608602045,6.42648845745769,2.34,1,0,0,0,0,176508.6713183755
-119.31,36.2,23.0,7.516433302915632,5.808142489980444,6.970730078143525,5.817111159963204,3.1453,0,1,0,0,0,102863.11626774538
